Sr no,Name,MoneyControl_link,News_link
1,3M+India+Ltd+moneycontrol,,
2,8K+Miles+Software+Services+Ltd+moneycontrol,,
3,Aarti+Industries+Ltd.+moneycontrol,,
4,Aban+Offshore+Ltd+moneycontrol,,
5,ABB+India+Ltd+moneycontrol,,
6,Abbott+India+Ltd+moneycontrol,,
7,ACC+Ltd+moneycontrol,,
8,Adani+Enterprises+Ltd+moneycontrol,,
9,Adani+Ports+and+Special+Economic+Zone+moneycontrol,,
10,Adani+Power+Ltd+moneycontrol,,
11,Adani+Transmission+Ltd+moneycontrol,,
12,Aditya+Birla+Fashion+and+Retail+Ltd+moneycontrol,,
13,Advanced+Enzyme+Technologies+Ltd+moneycontrol,,
14,Aegis+Logistics+Ltd+moneycontrol,,
15,AIA+Engineering+Ltd+moneycontrol,,
16,Ajanta+Pharma+Ltd+moneycontrol,,
17,Akzo+Nobel+India+Ltd+moneycontrol,,
18,Alembic+Pharmaceuticals+Ltd+moneycontrol,,
19,Alkem+Laboratories+Ltd+moneycontrol,,
20,Allahabad+Bank+moneycontrol,,
21,AllCargo+Logistics+Ltd+moneycontrol,,
22,Amara+Raja+Batteries+Ltd+moneycontrol,,
23,Ambuja+Cements+Ltd+moneycontrol,,
24,Andhra+Bank+moneycontrol,,
25,Apar+Industries+Ltd+moneycontrol,,
26,APL+Apollo+Tubes+Ltd+moneycontrol,,
27,Apollo+Hospitals+Enterprise+Ltd+moneycontrol,,
28,Apollo+Tyres+Ltd+moneycontrol,,
29,Arvind+Limited+moneycontrol,,
30,Asahi+India+Glass+Ltd+moneycontrol,,
31,Ashok+Leyland+Ltd+moneycontrol,,
32,Ashoka+Buildcon+Ltd+moneycontrol,,
33,Asian+Paints+Ltd+moneycontrol,,
34,Astra+Microwave+Products+Ltd.+moneycontrol,,
35,Astral+Polytechnik+Ltd+moneycontrol,,
36,Atul+Ltd.+moneycontrol,,
37,Aurobindo+Pharma+Ltd+moneycontrol,,
38,Avanti+Feeds+Ltd+moneycontrol,,
39,Avenue+Supermarts+Ltd+moneycontrol,,
40,Axis+Bank+Ltd+moneycontrol,,
41,Bajaj+Auto+Ltd+moneycontrol,,
42,Bajaj+Corp+Ltd+moneycontrol,,
43,Bajaj+Electricals+Ltd+moneycontrol,,
44,Bajaj+Finance+Ltd+moneycontrol,,
45,Bajaj+Finserv+Ltd+moneycontrol,,
46,Bajaj+Hindusthan+Sugar+Ltd+moneycontrol,,
47,Bajaj+Holdings+and+Investment+Ltd+moneycontrol,,
48,Balkrishna+Industries+Ltd+moneycontrol,,
49,Balmer+Lawrie+%26+Co.+Ltd.+moneycontrol,,
50,Balrampur+Chini+Mills+Ltd+moneycontrol,,
51,Bank+of+Baroda+moneycontrol,,
52,Bank+of+India+moneycontrol,,
53,Bank+Of+Maharashtra+moneycontrol,,
54,BASF+India+Limited+moneycontrol,,
55,Bata+India+Ltimited+moneycontrol,,
56,Bayer+CropScience+Ltd/India+moneycontrol,,
57,BEML+Ltd+moneycontrol,,
58,Berger+Paints+India+Ltd+moneycontrol,,
59,BF+Utilities+Ltd+moneycontrol,,
60,Bharat+Electronics+Ltd+moneycontrol,,
61,Bharat+Financial+Inclusion+Ltd+moneycontrol,,
62,Bharat+Forge+Ltd+moneycontrol,,
63,Bharat+Heavy+Electricals+Ltd+moneycontrol,,
64,Bharat+Petroleum+Corp+Ltd+moneycontrol,,
65,Bharti+Airtel+Ltd+moneycontrol,,
66,Bharti+Infratel+Ltd.+moneycontrol,,
67,Biocon+Ltd+moneycontrol,,
