Sr no,Name,MoneyControl_link,News_link
1,3M+India+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",http://www.moneycontrol.com/company-article/3mindia/news/MI42#MI42
2,8K+Miles+Software+Services+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",http://www.moneycontrol.com/company-article/8kmilessoftwareservices/news/PMS01#PMS01
3,Aarti+Industries+Ltd.+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",http://www.moneycontrol.com/company-article/aartiindustries/news/AI45#AI45
4,Aban+Offshore+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",http://www.moneycontrol.com/company-article/abanoffshore/news/AO04#AO04
5,ABB+India+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",http://www.moneycontrol.com/company-article/abbindia/news/ABB#ABB
6,Abbott+India+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",http://www.moneycontrol.com/company-article/abbottindia/news/AI51#AI51
7,ACC+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",http://www.moneycontrol.com/company-article/acc/news/ACC06#ACC06
8,Adani+Enterprises+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
9,Adani+Ports+and+Special+Economic+Zone+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
10,Adani+Power+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
11,Adani+Transmission+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
12,Aditya+Birla+Fashion+and+Retail+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
13,Advanced+Enzyme+Technologies+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
14,Aegis+Logistics+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
15,AIA+Engineering+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
16,Ajanta+Pharma+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
17,Akzo+Nobel+India+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
18,Alembic+Pharmaceuticals+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
19,Alkem+Laboratories+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
20,Allahabad+Bank+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
21,AllCargo+Logistics+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
22,Amara+Raja+Batteries+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
23,Ambuja+Cements+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
24,Andhra+Bank+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
25,Apar+Industries+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
26,APL+Apollo+Tubes+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
27,Apollo+Hospitals+Enterprise+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
28,Apollo+Tyres+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
29,Arvind+Limited+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
30,Asahi+India+Glass+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
31,Ashok+Leyland+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
32,Ashoka+Buildcon+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
33,Asian+Paints+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
34,Astra+Microwave+Products+Ltd.+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
35,Astral+Polytechnik+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
36,Atul+Ltd.+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
37,Aurobindo+Pharma+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
38,Avanti+Feeds+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
39,Avenue+Supermarts+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
40,Axis+Bank+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
41,Bajaj+Auto+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
42,Bajaj+Corp+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
43,Bajaj+Electricals+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
44,Bajaj+Finance+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
45,Bajaj+Finserv+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
46,Bajaj+Hindusthan+Sugar+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
47,Bajaj+Holdings+and+Investment+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
48,Balkrishna+Industries+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
49,Balmer+Lawrie+%26+Co.+Ltd.+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
50,Balrampur+Chini+Mills+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
51,Bank+of+Baroda+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
52,Bank+of+India+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
53,Bank+Of+Maharashtra+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
54,BASF+India+Limited+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
55,Bata+India+Ltimited+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
56,Bayer+CropScience+Ltd/India+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
57,BEML+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
58,Berger+Paints+India+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
59,BF+Utilities+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
60,Bharat+Electronics+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
61,Bharat+Financial+Inclusion+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
62,Bharat+Forge+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
63,Bharat+Heavy+Electricals+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
64,Bharat+Petroleum+Corp+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
65,Bharti+Airtel+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
66,Bharti+Infratel+Ltd.+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
67,Biocon+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
68,Birla+Corp+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
