Sr.no,id,name,moneycontrol_link,news
1,532540,TATA CONSULTANCY SERVICES LTD.,http://www.moneycontrol.com/india/stockpricequote/computers-software/tataconsultancyservices/TCS,http://www.moneycontrol.com/company-article/relianceindustries/news/RI#RI
2,500325,RELIANCE INDUSTRIES LTD.,http://www.moneycontrol.com/india/stockpricequote/refineries/relianceindustries/RI,http://www.moneycontrol.com/company-article/tataconsultancyservices/news/TCS#TCS
3,500180,HDFC BANK LTD.,http://www.moneycontrol.com/india/stockpricequote/banks-private-sector/hdfcbank/HDF01,
4,500875,ITC LTD.,http://www.moneycontrol.com/india/stockpricequote/cigarettes/itc/ITC,
5,500312,OIL AND NATURAL GAS CORPORATION LTD.,http://www.moneycontrol.com/india/stockpricequote/oil-drilling-and-exploration/oilnaturalgascorporation/ONG,
6,500209,INFOSYS LTD.,http://www.moneycontrol.com/india/stockpricequote/computers-software/infosys/IT,
7,500010,HOUSING DEVELOPMENT FINANCE CORP.LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-housing/housingdevelopmentfinancecorporation/HDF,
8,500112,STATE BANK OF INDIA,http://www.moneycontrol.com/india/stockpricequote/banks-public-sector/statebankindia/SBI,
9,533278,COAL INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/mining-minerals/coalindia/CI11,
10,500696,HINDUSTAN UNILEVER LTD.,http://www.moneycontrol.com/india/stockpricequote/personal-care/hindustanunilever/HU,
11,530965,INDIAN OIL CORPORATION LTD.,http://www.moneycontrol.com/india/stockpricequote/refineries/indianoilcorporation/IOC,
12,532500,MARUTI SUZUKI INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/auto-cars-jeeps/marutisuzukiindia/MS24,
13,524715,SUN PHARMACEUTICAL INDUSTRIES LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/sunpharmaceuticalindustries/SPI,
14,532174,ICICI BANK LTD.,http://www.moneycontrol.com/india/stockpricequote/banks-private-sector/icicibank/ICI02,
15,500247,KOTAK MAHINDRA BANK LTD.,http://www.moneycontrol.com/india/stockpricequote/banks-private-sector/kotakmahindrabank/KMB,
16,500570,TATA MOTORS LTD.,http://www.moneycontrol.com/india/stockpricequote/auto-lcvs-hcvs/tatamotors/TM03,
17,500510,LARSEN & TOUBRO LTD.,http://www.moneycontrol.com/india/stockpricequote/infrastructure-general/larsentoubro/LT,
18,532454,BHARTI AIRTEL LTD.,http://www.moneycontrol.com/india/stockpricequote/telecommunications-service/bhartiairtel/BA08,
19,532555,NTPC LTD.,http://www.moneycontrol.com/india/stockpricequote/power-generation-distribution/ntpc/NTP,
20,500188,HINDUSTAN ZINC LTD.,http://www.moneycontrol.com/india/stockpricequote/metals-non-ferrous/hindustanzinc/HZ,
21,532281,HCL TECHNOLOGIES LTD.,http://www.moneycontrol.com/india/stockpricequote/computers-software/hcltechnologies/HCL02,
22,507685,WIPRO LTD.,http://www.moneycontrol.com/india/stockpricequote/computers-software/wipro/W,
23,532215,AXIS BANK LTD.,http://www.moneycontrol.com/india/stockpricequote/banks-private-sector/axisbank/AB16,
24,532898,POWER GRID CORPORATION OF INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/power-generation-distribution/powergridcorporationindia/PGC,
25,532538,ULTRATECH CEMENT LTD.,http://www.moneycontrol.com/india/stockpricequote/cement-major/ultratechcement/UTC01,
26,500547,BHARAT PETROLEUM CORPORATION LTD.,http://www.moneycontrol.com/india/stockpricequote/refineries/bharatpetroleumcorporation/BPC,
27,500820,ASIAN PAINTS LTD.,http://www.moneycontrol.com/india/stockpricequote/paints-varnishes/asianpaints/AP31,
28,532977,BAJAJ AUTO LTD.,http://www.moneycontrol.com/india/stockpricequote/auto-2-3-wheelers/bajajauto/BA10,
29,500520,MAHINDRA & MAHINDRA LTD.,http://www.moneycontrol.com/india/stockpricequote/auto-cars-jeeps/mahindramahindra/MM,
30,532187,INDUSIND BANK LTD.,http://www.moneycontrol.com/india/stockpricequote/banks-private-sector/indusindbank/IIB,
31,500295,VEDANTA LTD.,http://www.moneycontrol.com/india/stockpricequote/mining-minerals/vedanta/SG,
32,500530,BOSCH LTD.,http://www.moneycontrol.com/india/stockpricequote/auto-ancillaries/bosch/B05,
33,500257,LUPIN LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/lupin/L,
34,505200,EICHER MOTORS LTD.,http://www.moneycontrol.com/india/stockpricequote/auto-lcvs-hcvs/eichermotors/EM,
35,500182,HERO MOTOCORP LTD.,http://www.moneycontrol.com/india/stockpricequote/auto-2-3-wheelers/heromotocorp/HHM,
36,532921,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,http://www.moneycontrol.com/india/stockpricequote/infrastructure-general/adaniportsspecialeconomiczone/MPS,
37,532648,YES BANK LTD.,http://www.moneycontrol.com/india/stockpricequote/banks-private-sector/yesbank/YB,
38,534816,BHARTI INFRATEL LTD.,http://www.moneycontrol.com/india/stockpricequote/telecommunications-equipment/bhartiinfratel/BI14,
39,500790,NESTLE INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/food-processing/nestleindia/NI,
40,532155,GAIL (INDIA) LTD.,http://www.moneycontrol.com/india/stockpricequote/oil-drilling-and-exploration/gailindia/GAI,
41,500034,BAJAJ FINANCE LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-leasing-hire-purchase/bajajfinance/BAF,
42,532978,BAJAJ FINSERV LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-investments/bajajfinserv/BF04,
43,532424,GODREJ CONSUMER PRODUCTS LTD.,http://www.moneycontrol.com/india/stockpricequote/personal-care/godrejconsumerproducts/GCP,
44,500387,SHREE CEMENT LTD.,http://www.moneycontrol.com/india/stockpricequote/cement-major/shreecements/SC12,
45,500104,HINDUSTAN PETROLEUM CORPORATION LTD.,http://www.moneycontrol.com/india/stockpricequote/refineries/hindustanpetroleumcorporation/HPC,
46,532792,CAIRN INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/oil-drilling-and-exploration/cairnindia/CI37,
47,540133,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-general/iciciprudentiallifeinsurancecompany/IPL01,
48,517334,MOTHERSON SUMI SYSTEMS LTD.,http://www.moneycontrol.com/india/stockpricequote/auto-ancillaries/mothersonsumisystems/MSS01,
49,500096,DABUR INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/personal-care/daburindia/DI,
50,505537,ZEE ENTERTAINMENT ENTERPRISES LTD.,http://www.moneycontrol.com/india/stockpricequote/media-entertainment/zeeentertainmententerprises/ZEE,
51,500124,DR.REDDY'S LABORATORIES LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/drreddyslaboratories/DRL,
52,500087,CIPLA LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cipla/C,
53,532755,TECH MAHINDRA LTD.,http://www.moneycontrol.com/india/stockpricequote/computers-software/techmahindra/TM4,
54,500470,TATA STEEL LTD.,http://www.moneycontrol.com/india/stockpricequote/steel-large/tatasteel/TIS,
55,500300,GRASIM INDUSTRIES LTD.,http://www.moneycontrol.com/india/stockpricequote/diversified/grasimindustries/GI01,
56,500425,AMBUJA CEMENTS LTD.,http://www.moneycontrol.com/india/stockpricequote/cement-major/ambujacements/AC18,
57,500228,JSW STEEL LTD.,http://www.moneycontrol.com/india/stockpricequote/steel-large/jswsteel/JSW01,
58,526371,NMDC LTD.,http://www.moneycontrol.com/india/stockpricequote/mining-minerals/nmdc/NMD02,
59,500550,SIEMENS LTD.,http://www.moneycontrol.com/india/stockpricequote/infrastructure-general/siemens/S,
60,532321,CADILA HEALTHCARE LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cadilahealthcare/CHC,
61,524804,AUROBINDO PHARMA LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aurobindopharma/AP,
62,540376,AVENUE SUPERMARTS LTD.,http://www.moneycontrol.com/india/stockpricequote/retail/avenuesupermarts/AS19,
63,500440,HINDALCO INDUSTRIES LTD.,http://www.moneycontrol.com/india/stockpricequote/aluminium/hindalcoindustries/HI,
64,532134,BANK OF BARODA,http://www.moneycontrol.com/india/stockpricequote/banks-public-sector/bankofbaroda/BOB,
65,500825,BRITANNIA INDUSTRIES LTD.,http://www.moneycontrol.com/india/stockpricequote/food-processing/britanniaindustries/BI,
66,533098,NHPC LTD.,http://www.moneycontrol.com/india/stockpricequote/power-generation-distribution/nhpc/N07,
67,500114,TITAN COMPANY LTD.,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/titancompany/TI01,
